iter	Passed	Remaining
418	2551	3538
419	2557	3531
420	2562	3524
421	2568	3517
422	2573	3510
423	2578	3503
424	2584	3496
425	2589	3489
426	2595	3482
427	2600	3475
428	2606	3469
429	2612	3463
430	2617	3455
431	2624	3450
432	2632	3446
433	2638	3441
434	2645	3435
435	2650	3428
436	2656	3421
437	2661	3414
438	2666	3407
439	2671	3400
440	2677	3393
441	2682	3386
442	2688	3380
443	2693	3372
444	2698	3365
445	2703	3358
446	2708	3351
447	2714	3344
448	2719	3337
449	2725	3330
450	2732	3325
451	2737	3319
452	2743	3312
453	2748	3305
454	2754	3298
455	2759	3292
456	2765	3285
457	2770	3278
458	2776	3272
459	2781	3265
460	2786	3258
461	2791	3251
462	2797	3244
463	2803	3237
464	2808	3231
465	2814	3225
466	2822	3221
467	2830	3217
468	2837	3212
469	2843	3206
470	2849	3200
471	2855	3194
472	2861	3188
473	2866	3181
474	2872	3175
475	2880	3170
476	2887	3165
477	2893	3159
478	2898	3152
479	2906	3148
480	2911	3141
481	2918	3136
482	2926	3132
483	2931	3125
484	2939	3121
485	2944	3114
486	2951	3109
487	2957	3103
488	2965	3098
489	2971	3093
490	2977	3086
491	2984	3081
492	2989	3074
493	2995	3068
494	3002	3063
495	3008	3057
496	3016	3053
497	3025	3050
498	3034	3046
499	3042	3042
500	3051	3039
501	3057	3032
502	3063	3026
503	3070	3021
504	3075	3015
505	3084	3011
506	3091	3005
507	3098	3001
508	3104	2994
509	3111	2989
510	3119	2985
511	3126	2979
512	3134	2975
513	3140	2969
514	3147	2964
515	3153	2957
516	3158	2950
517	3166	2946
518	3171	2939
519	3180	2935
520	3185	2928
521	3191	2922
522	3196	2915
523	3201	2908
524	3208	2902
525	3214	2896
526	3220	2890
527	3229	2886
528	3236	2882
529	3243	2876
530	3248	2869
531	3254	2863
532	3261	2857
533	3267	2851
534	3272	2844
535	3278	2837
536	3285	2833
537	3291	2826
538	3298	2820
539	3303	2814
540	3308	2807
541	3314	2800
542	3319	2793
543	3324	2786
544	3330	2780
545	3335	2773
546	3341	2767
547	3347	2760
548	3352	2753
549	3357	2746
550	3363	2740
551	3368	2734
552	3374	2727
553	3379	2720
554	3384	2713
555	3389	2706
556	3395	2700
557	3400	2693
558	3406	2687
559	3412	2680
560	3417	2674
561	3423	2667
562	3430	2662
563	3437	2657
564	3443	2651
565	3449	2644
566	3455	2638
567	3460	2631
568	3465	2625
569	3470	2618
570	3476	2611
571	3481	2605
572	3488	2599
573	3494	2593
574	3501	2587
575	3506	2581
576	3512	2574
577	3518	2568
578	3524	2562
579	3529	2556
580	3535	2549
581	3540	2542
582	3546	2536
583	3552	2530
584	3558	2524
585	3564	2518
586	3569	2511
587	3575	2505
588	3582	2499
589	3588	2493
590	3594	2487
591	3601	2482
592	3608	2476
593	3614	2470
594	3621	2465
595	3628	2459
596	3636	2454
597	3643	2449
598	3650	2444
599	3656	2437
600	3663	2431
601	3668	2425
602	3674	2419
603	3680	2412
604	3686	2406
605	3692	2400
606	3700	2395
607	3705	2389
608	3711	2383
609	3716	2376
610	3722	2369
611	3728	2363
612	3734	2357
613	3739	2350
614	3744	2344
615	3749	2337
616	3755	2331
617	3760	2324
618	3765	2317
619	3771	2311
620	3776	2304
621	3781	2298
622	3787	2291
623	3792	2285
624	3797	2278
625	3804	2272
626	3810	2266
627	3818	2262
628	3825	2256
629	3831	2250
630	3837	2244
631	3844	2238
632	3850	2232
633	3856	2226
634	3861	2219
635	3867	2213
636	3872	2206
637	3877	2200
638	3883	2194
639	3890	2188
640	3898	2183
641	3904	2177
642	3911	2171
643	3918	2166
644	3927	2161
645	3935	2156
646	3941	2150
647	3951	2146
648	3957	2140
649	3967	2136
650	3973	2130
651	3984	2126
652	3990	2120
653	4000	2116
654	4010	2112
655	4021	2108
656	4029	2103
657	4035	2097
658	4042	2091
659	4050	2086
660	4056	2080
661	4064	2075
662	4070	2068
663	4076	2062
664	4082	2056
665	4089	2050
666	4094	2044
667	4101	2038
668	4107	2032
669	4113	2026
670	4119	2019
671	4125	2013
672	4131	2007
673	4137	2001
674	4144	1995
675	4149	1988
676	4156	1983
677	4162	1977
678	4173	1972
679	4181	1967
680	4188	1962
681	4194	1955
682	4200	1949
683	4210	1945
684	4215	1938
685	4224	1933
686	4232	1928
687	4239	1922
688	4245	1916
689	4253	1910
690	4259	1904
691	4265	1898
692	4272	1892
693	4278	1886
694	4285	1880
695	4291	1874
696	4297	1868
697	4304	1862
698	4310	1856
699	4317	1850
700	4323	1843
701	4329	1837
702	4336	1831
703	4341	1825
704	4349	1820
705	4355	1813
706	4361	1807
707	4367	1801
708	4373	1794
709	4379	1788
710	4384	1782
711	4389	1775
712	4394	1769
713	4400	1762
714	4408	1757
715	4416	1751
716	4423	1746
717	4429	1739
718	4435	1733
719	4440	1726
720	4446	1720
721	4451	1714
722	4457	1707
723	4462	1701
724	4467	1694
725	4473	1688
726	4478	1681
727	4484	1675
728	4490	1669
729	4497	1663
730	4502	1657
731	4508	1650
732	4514	1644
733	4519	1637
734	4525	1631
735	4531	1625
736	4537	1619
737	4543	1613
738	4549	1606
739	4555	1600
740	4561	1594
741	4566	1587
742	4572	1581
743	4580	1575
744	4585	1569
745	4592	1563
746	4598	1557
747	4605	1551
748	4613	1546
749	4619	1539
750	4627	1534
751	4634	1528
752	4641	1522
753	4647	1516
754	4656	1510
755	4663	1505
756	4670	1499
757	4676	1493
758	4681	1486
759	4689	1480
760	4696	1474
761	4703	1469
762	4709	1462
763	4715	1456
764	4721	1450
765	4727	1444
766	4735	1438
767	4742	1432
768	4747	1426
769	4753	1419
770	4759	1413
771	4765	1407
772	4772	1401
773	4778	1395
774	4785	1389
775	4791	1383
776	4796	1376
777	4803	1370
778	4810	1364
779	4817	1358
780	4825	1353
781	4831	1346
782	4836	1340
783	4841	1333
784	4848	1327
785	4855	1321
786	4861	1315
787	4870	1310
788	4878	1304
789	4887	1299
790	4894	1293
791	4904	1288
792	4911	1281
793	4918	1276
794	4924	1269
795	4932	1264
796	4939	1258
797	4948	1252
798	4955	1246
799	4964	1241
800	4971	1235
801	4980	1229
802	4987	1223
803	4994	1217
804	5003	1212
805	5012	1206
806	5020	1200
807	5027	1194
808	5032	1188
809	5038	1181
810	5043	1175
811	5050	1169
812	5057	1163
813	5064	1157
814	5070	1150
815	5075	1144
816	5081	1138
817	5086	1131
818	5091	1125
819	5097	1118
820	5103	1112
821	5109	1106
822	5114	1099
823	5119	1093
824	5124	1087
825	5130	1080
826	5136	1074
827	5142	1068
828	5148	1061
829	5154	1055
830	5159	1049
831	5166	1043
832	5172	1037
833	5178	1030
834	5184	1024
835	5189	1018
836	5194	1011
837	5202	1005
838	5209	999
839	5218	993
840	5224	987
841	5231	981
842	5237	975
843	5243	969
844	5249	962
845	5255	956
846	5261	950
847	5268	944
848	5273	937
849	5279	931
850	5284	925
851	5290	919
852	5296	912
853	5302	906
854	5308	900
855	5314	894
856	5319	887
857	5325	881
858	5331	875
859	5337	868
860	5343	862
861	5349	856
862	5354	850
863	5360	843
864	5366	837
865	5371	831
866	5377	824
867	5383	818
868	5389	812
869	5395	806
870	5401	799
871	5407	793
872	5413	787
873	5422	781
874	5430	775
875	5436	769
876	5442	763
877	5448	757
878	5453	750
879	5460	744
880	5465	738
881	5471	731
882	5476	725
883	5482	719
884	5487	713
885	5493	706
886	5498	700
887	5506	694
888	5512	688
889	5518	682
890	5523	675
891	5530	669
892	5537	663
893	5545	657
894	5551	651
895	5556	645
896	5563	638
897	5569	632
898	5578	626
899	5584	620
900	5593	614
901	5599	608
902	5606	602
903	5615	596
904	5625	590
905	5632	584
906	5640	578
907	5645	572
908	5651	565
909	5659	559
910	5665	553
911	5672	547
912	5678	541
913	5683	534
914	5690	528
915	5696	522
916	5703	516
917	5709	510
918	5716	503
919	5722	497
920	5728	491
921	5734	485
922	5742	479
923	5749	472
924	5756	466
925	5763	460
926	5770	454
927	5776	448
928	5782	441
929	5788	435
930	5795	429
931	5803	423
932	5809	417
933	5815	410
934	5822	404
935	5827	398
936	5833	392
937	5838	385
938	5844	379
939	5849	373
940	5854	367
941	5860	360
942	5866	354
943	5871	348
944	5877	342
945	5883	335
946	5888	329
947	5894	323
948	5900	317
949	5906	310
950	5911	304
951	5917	298
952	5923	292
953	5929	285
954	5937	279
955	5948	273
956	5956	267
957	5963	261
958	5971	255
959	5978	249
960	5984	242
961	5989	236
962	5999	230
963	6005	224
964	6010	218
965	6016	211
966	6023	205
967	6029	199
968	6036	193
969	6041	186
970	6046	180
971	6052	174
972	6057	168
973	6063	161
974	6069	155
975	6074	149
976	6080	143
977	6085	136
978	6091	130
979	6096	124
980	6102	118
981	6108	111
982	6114	105
983	6120	99
984	6127	93
985	6132	87
986	6138	80
987	6145	74
988	6151	68
989	6156	62
990	6162	55
991	6168	49
992	6173	43
993	6178	37
994	6186	31
995	6194	24
996	6202	18
997	6207	12
998	6213	6
999	6219	0
