iter	RMSE
252	2.065743887
253	2.060737459
254	2.058418365
255	2.055429016
256	2.052667895
257	2.049761488
258	2.045607587
259	2.040687192
260	2.037201066
261	2.033838936
262	2.029466278
263	2.026631884
264	2.024867448
265	2.023127634
266	2.020869909
267	2.016355933
268	2.013140418
269	2.009267131
270	2.006834731
271	2.004275669
272	2.001567173
273	1.999456319
274	1.996092806
275	1.992816558
276	1.990580657
277	1.986846999
278	1.985001519
279	1.982549577
280	1.979618745
281	1.976941037
282	1.973910407
283	1.972269353
284	1.970249648
285	1.968573201
286	1.965712809
287	1.963312753
288	1.959845266
289	1.957266696
290	1.954737561
291	1.951463359
292	1.949060038
293	1.94699343
294	1.944792708
295	1.942403083
296	1.939114914
297	1.93495304
298	1.933561139
299	1.931719934
300	1.92944608
301	1.92753626
302	1.925000847
303	1.923435229
304	1.920198096
305	1.916700208
306	1.914468642
307	1.910804691
308	1.909319998
309	1.907914231
310	1.905855228
311	1.902772887
312	1.900633287
313	1.898315032
314	1.895894966
315	1.89469611
316	1.890604145
317	1.886961316
318	1.884723051
319	1.883102798
320	1.880494234
321	1.877063877
322	1.874871286
323	1.872234805
324	1.869840196
325	1.867400137
326	1.865664336
327	1.862812758
328	1.86055723
329	1.858774755
330	1.855603961
331	1.854046416
332	1.850993472
333	1.848714966
334	1.846665101
335	1.844135779
336	1.841127528
337	1.840022254
338	1.837697217
339	1.835062204
340	1.832421498
341	1.831380653
342	1.829424223
343	1.827651941
344	1.825172202
345	1.821553716
346	1.819125514
347	1.817222468
348	1.815719927
349	1.813851969
350	1.81012677
351	1.808383096
352	1.805008671
353	1.804084228
354	1.803153374
355	1.801585184
356	1.798749265
357	1.796623117
358	1.793490542
359	1.790946509
360	1.789895511
361	1.788416797
362	1.787213353
363	1.785252836
364	1.783542225
365	1.782081175
366	1.780156382
367	1.778892692
368	1.777667729
369	1.774705807
370	1.772906709
371	1.770874958
372	1.768991473
373	1.766784548
374	1.765725195
375	1.763910402
376	1.761798776
377	1.760374111
378	1.759102396
379	1.756658076
380	1.75552756
381	1.75459779
382	1.752252753
383	1.751024489
384	1.749891126
385	1.748381224
386	1.746925775
387	1.745282931
388	1.744563045
389	1.742191019
390	1.740403195
391	1.739132806
392	1.736145352
393	1.73520065
394	1.73385061
395	1.731896156
396	1.730454595
397	1.72900452
398	1.727625948
399	1.725659258
400	1.723847036
401	1.722224951
402	1.720625408
403	1.719652313
404	1.718331428
405	1.717167396
406	1.715577987
407	1.714423337
408	1.712773522
409	1.711715859
410	1.710470608
411	1.709008559
412	1.706735145
413	1.70580224
414	1.703428096
415	1.702673896
416	1.700809916
417	1.699087
418	1.698243462
419	1.697207943
420	1.696053845
421	1.693635542
422	1.692328022
423	1.691600571
424	1.69052411
425	1.689614892
426	1.687755136
427	1.687234347
428	1.685732324
429	1.684370838
430	1.682968199
431	1.681310789
432	1.680645839
433	1.677680412
434	1.676880822
435	1.67493888
436	1.672821608
437	1.671342014
438	1.670238517
439	1.668973164
440	1.666948115
441	1.665709401
442	1.664472882
443	1.663787451
444	1.663025671
445	1.662309705
446	1.660334519
447	1.658039083
448	1.656328529
449	1.654574468
450	1.6529533
451	1.651567647
452	1.650547461
453	1.649305711
454	1.648211884
455	1.646961418
456	1.645807301
457	1.644968797
458	1.644050875
459	1.642222348
460	1.641355513
461	1.639311367
462	1.637867738
463	1.637416984
464	1.635910474
465	1.634362502
466	1.633163616
467	1.631575868
468	1.630752729
469	1.629345998
470	1.628679672
471	1.627310115
472	1.625014468
473	1.624071878
474	1.622860542
475	1.621742533
476	1.619881175
477	1.61922274
478	1.617616706
479	1.616820696
480	1.614259005
481	1.612665376
482	1.611528851
483	1.609642951
484	1.608706806
485	1.607198124
486	1.606200229
487	1.605533039
488	1.603765873
489	1.602271244
490	1.60037567
491	1.59833844
492	1.597780205
493	1.597392296
494	1.595838974
495	1.594950829
496	1.593988771
497	1.593169303
498	1.591013986
499	1.589620154
500	1.588157845
501	1.586657855
502	1.585401767
503	1.584643451
504	1.583219412
505	1.582459592
506	1.580063013
507	1.57761802
508	1.575993814
509	1.573858128
510	1.572704168
511	1.572401036
512	1.571021176
513	1.570762668
514	1.570165145
515	1.569013118
516	1.567799237
517	1.566511852
518	1.564813026
519	1.563924832
520	1.56245932
521	1.561234526
522	1.55948995
523	1.5583285
524	1.555823931
525	1.553539364
526	1.552429213
527	1.551554129
528	1.550550144
529	1.549127974
530	1.548197385
531	1.547351181
532	1.546232796
533	1.544498226
534	1.543846574
535	1.543100892
536	1.54145431
537	1.540307751
538	1.539674652
539	1.538609023
540	1.536619987
541	1.535323493
542	1.533831479
543	1.532807206
544	1.532110004
545	1.531026395
546	1.530567958
547	1.528813014
548	1.527017125
549	1.525818033
550	1.523597075
551	1.522183626
552	1.521623307
553	1.520771217
554	1.520184772
555	1.518358617
556	1.517139724
557	1.516691172
558	1.514661519
559	1.513336957
560	1.512526544
561	1.511256602
562	1.510670596
563	1.509896134
564	1.509104041
565	1.508307437
566	1.508049857
567	1.507076454
568	1.506099176
569	1.505684224
570	1.505459308
571	1.503831015
572	1.502423377
573	1.502201863
574	1.501454805
575	1.500258085
576	1.499342344
577	1.498264516
578	1.496646622
579	1.496180245
580	1.4948895
581	1.494420593
582	1.493721452
583	1.492914739
584	1.491916779
585	1.491118005
586	1.489875012
587	1.488749068
588	1.488054622
589	1.487394469
590	1.486396531
591	1.485230831
592	1.483866661
593	1.483152583
594	1.481442864
595	1.480767657
596	1.479619268
597	1.478349418
598	1.477402837
599	1.476360335
600	1.474731684
601	1.473676113
602	1.472407008
603	1.471010783
604	1.469641576
605	1.468534112
606	1.467660764
607	1.4672699
608	1.466370898
609	1.465331723
610	1.465063538
611	1.463854141
612	1.463090624
613	1.462650423
614	1.461600596
615	1.460732022
616	1.459360483
617	1.45735791
618	1.456632729
619	1.456065344
620	1.45508775
621	1.453239036
622	1.45253769
623	1.451051072
624	1.450407636
625	1.449782576
626	1.448735879
627	1.448025639
628	1.446705928
629	1.445699204
630	1.445211847
631	1.444260458
632	1.44384238
633	1.443206028
634	1.442653128
635	1.441378534
636	1.440756893
637	1.440258381
638	1.439936043
639	1.439331524
640	1.438193627
641	1.437684945
642	1.437449138
643	1.437177145
644	1.435599582
645	1.434890774
646	1.434299874
647	1.43292361
648	1.431473416
649	1.430827951
650	1.430033402
651	1.428074082
652	1.42748705
653	1.426367871
654	1.425430722
655	1.424351389
656	1.423090244
657	1.422485758
658	1.421610059
659	1.421058676
660	1.420268286
661	1.418596685
662	1.418255767
663	1.417110766
664	1.414653512
665	1.414412782
666	1.41334239
667	1.412266337
668	1.411456387
669	1.410497611
670	1.409481349
671	1.408826594
672	1.408370447
673	1.406765939
674	1.40586664
675	1.40555331
676	1.40485165
677	1.403874043
678	1.403292045
679	1.402418651
680	1.401877944
681	1.400812146
682	1.399650176
683	1.399164228
684	1.398945141
685	1.397996341
686	1.396896554
687	1.395372486
688	1.393335879
689	1.392766523
690	1.391767522
691	1.391219257
692	1.390185044
693	1.389303441
694	1.387740455
695	1.387440362
696	1.387048561
697	1.386490507
698	1.385888137
699	1.385269494
700	1.384578098
701	1.384164076
702	1.383919001
703	1.38369361
704	1.382910386
705	1.382517297
706	1.381651513
707	1.38045992
708	1.38013725
709	1.379381034
710	1.378039399
711	1.376461819
712	1.375256981
713	1.374506035
714	1.373870388
715	1.37316758
716	1.372052966
717	1.370762631
718	1.368718676
719	1.367411109
720	1.366841114
721	1.366382725
722	1.366132138
723	1.365251132
724	1.364758373
725	1.36367645
726	1.363021848
727	1.362330445
728	1.361191083
729	1.360159443
730	1.359858879
731	1.359534087
732	1.358267647
733	1.357806041
734	1.356986976
735	1.356204386
736	1.355147754
737	1.354769929
738	1.354355987
739	1.353913512
740	1.353411472
741	1.352820624
742	1.351121987
743	1.349701915
744	1.348147116
745	1.347364256
746	1.346544963
747	1.346175317
748	1.345649414
749	1.344765029
750	1.344205687
751	1.343320482
752	1.342794575
753	1.342031822
754	1.340929537
755	1.340362585
756	1.339813941
757	1.339326272
758	1.33735722
759	1.336081557
760	1.335302654
761	1.334705624
762	1.333966695
763	1.333767187
764	1.333003942
765	1.332381535
766	1.331845063
767	1.331528202
768	1.330456858
769	1.330186405
770	1.329038012
771	1.328034019
772	1.326754072
773	1.32548052
774	1.324542349
775	1.323714142
776	1.322668962
777	1.322032733
778	1.321134065
779	1.320488258
780	1.320252574
781	1.319324282
782	1.318788513
783	1.318102012
784	1.317153095
785	1.316012348
786	1.315332428
787	1.314739702
788	1.314391926
789	1.314003917
790	1.313383241
791	1.312685033
792	1.312313443
793	1.311727039
794	1.310668652
795	1.309561896
796	1.309368151
797	1.308771093
798	1.307465717
799	1.306479159
800	1.305932525
801	1.305421359
802	1.303708304
803	1.302816399
804	1.302322956
805	1.301324596
806	1.300401673
807	1.299555781
808	1.298801874
809	1.298405428
810	1.297856816
811	1.297385948
812	1.296205204
813	1.295312322
814	1.294147511
815	1.293591705
816	1.292565283
817	1.291743494
818	1.290794667
819	1.290326561
820	1.289414977
821	1.288885137
822	1.288359606
823	1.287935668
824	1.287394177
825	1.286712957
826	1.286402471
827	1.28588102
828	1.285283332
829	1.284545399
830	1.284063543
831	1.283199742
832	1.282927555
833	1.282511889
834	1.282111769
835	1.281644962
836	1.280800451
837	1.279977129
838	1.279246364
839	1.278953751
840	1.278077276
841	1.276933082
842	1.275611524
843	1.274749863
844	1.273845936
845	1.27305763
846	1.272707942
847	1.272348375
848	1.271830663
849	1.271427304
850	1.270056358
851	1.269571688
852	1.269024805
853	1.268404169
854	1.26680289
855	1.266203206
856	1.265859855
857	1.264877223
858	1.264661156
859	1.264032426
860	1.263224825
861	1.262623459
862	1.26186856
863	1.261465861
864	1.260899369
865	1.259717702
866	1.25877269
867	1.258397494
868	1.257850524
869	1.256864696
870	1.256249894
871	1.255306807
872	1.254983889
873	1.253142773
874	1.252338932
875	1.25123822
876	1.250637482
877	1.250172361
878	1.249336044
879	1.248666108
880	1.247898761
881	1.247180522
882	1.24645002
883	1.245554432
884	1.245073901
885	1.243854531
886	1.243216196
887	1.242261599
888	1.24160623
889	1.2411509
890	1.240400136
891	1.239801622
892	1.239380507
893	1.238938776
894	1.237504229
895	1.236973948
896	1.236479788
897	1.235587538
898	1.234457456
899	1.234104771
900	1.233228443
901	1.232773802
902	1.231932421
903	1.231355084
904	1.231040963
905	1.230839665
906	1.230422973
907	1.229974683
908	1.229317227
909	1.228415189
910	1.228097789
911	1.227724141
912	1.226973825
913	1.226190811
914	1.225711604
915	1.225607613
916	1.225077034
917	1.22454297
918	1.22413505
919	1.223713922
920	1.223457568
921	1.222924285
922	1.222468182
923	1.222094232
924	1.221056922
925	1.220572459
926	1.220281666
927	1.219717814
928	1.218838873
929	1.218288961
930	1.217974018
931	1.217602011
932	1.21703301
933	1.216638742
934	1.216336917
935	1.215671026
936	1.214440403
937	1.213934803
938	1.213590014
939	1.212387631
940	1.211816559
941	1.211371598
942	1.210761746
943	1.210113161
944	1.209549225
945	1.209042883
946	1.208684215
947	1.207880012
948	1.207531646
949	1.206892728
950	1.206663278
951	1.20634397
952	1.205872615
953	1.205056405
954	1.204637755
955	1.203550923
956	1.203201856
957	1.202856777
958	1.202661617
959	1.202247023
960	1.201675788
961	1.20155889
962	1.201027405
963	1.200342381
964	1.199978247
965	1.19876142
966	1.198292485
967	1.197959687
968	1.197017825
969	1.196827132
970	1.196186075
971	1.195744917
972	1.193940891
973	1.193440947
974	1.193018873
975	1.191961527
976	1.191204205
977	1.190846322
978	1.18993801
979	1.189586007
980	1.189074425
981	1.188387956
982	1.187905802
983	1.187680086
984	1.187011537
985	1.186733352
986	1.186182003
987	1.185617945
988	1.185382112
989	1.184261622
990	1.183778404
991	1.183083052
992	1.182883847
993	1.182376519
994	1.181729949
995	1.181256636
996	1.18080374
997	1.180048499
998	1.178940191
999	1.177060402
